Time,Height,Speed,Precision
0.55,2.2,5.70,100.0
0.55,2.2,5.70,100.0
0.55,2.2,5.70,100.0
0.55,2.2,5.70,100.0
0.56,2.2,5.80,100.0
0.56,2.2,5.80,100.0
0.56,2.2,5.80,100.0
0.56,2.2,5.80,100.0
0.57,2.2,5.80,100.0
0.57,2.2,5.80,100.0
0.57,2.2,5.80,100.0
0.57,2.2,5.80,100.0
0.58,2.2,5.91,100.0
0.58,2.2,5.91,100.0
0.58,2.2,5.91,100.0
0.58,2.2,5.91,100.0
0.59,2.2,5.91,100.0
0.59,2.2,5.91,100.0
0.59,2.2,5.91,100.0
0.59,2.2,5.91,100.0
0.60,2.2,6.02,100.0
0.60,2.2,6.02,100.0
0.60,2.2,6.02,100.0
0.60,2.2,6.02,100.0
0.61,2.2,6.02,100.0
0.61,2.2,6.02,100.0
0.61,2.2,6.02,100.0
0.61,2.2,6.02,100.0
0.61,2.2,6.02,100.0
0.62,2.2,6.12,100.0
0.62,2.2,6.12,100.0
0.62,2.2,6.12,100.0
0.62,2.2,6.12,100.0
0.63,2.2,6.12,100.0
0.63,2.2,6.12,100.0
0.63,2.2,6.12,100.0
0.63,2.2,6.12,100.0
0.64,2.2,6.23,100.0
0.64,2.2,6.23,100.0
0.64,2.2,6.23,100.0
0.64,2.2,6.23,100.0
0.64,2.2,6.23,100.0
0.65,2.2,6.23,100.0
0.65,2.2,6.23,100.0
0.65,2.2,6.23,100.0
0.65,2.2,6.23,100.0
0.66,2.2,6.33,100.0
0.66,2.2,6.33,100.0
0.66,2.2,6.33,100.0
0.66,2.2,6.33,100.0
0.67,2.2,6.33,100.0
0.67,2.2,6.33,100.0
0.67,2.2,6.33,100.0
0.67,2.2,6.44,100.0
0.68,2.2,6.44,100.0
0.68,2.2,6.44,100.0
0.68,2.2,6.44,100.0
0.69,2.2,6.44,100.0
0.69,2.2,6.44,100.0
0.69,2.2,6.44,100.0
0.69,2.2,6.44,100.0
0.69,2.2,6.44,100.0
0.70,2.2,6.54,100.0
0.70,2.2,6.54,100.0
0.70,2.2,6.54,100.0
0.71,2.2,6.54,100.0
0.71,2.2,6.54,100.0
0.71,2.2,6.54,100.0
0.71,2.2,6.54,100.0
0.71,2.2,6.54,100.0
0.72,2.2,6.64,100.0
0.72,2.2,6.64,100.0
0.72,2.2,6.64,100.0
0.73,2.2,6.64,100.0
0.73,2.2,6.64,100.0
0.73,2.2,6.64,100.0
0.73,2.2,6.64,100.0
0.74,2.2,6.74,100.0
0.74,2.2,6.74,100.0
0.74,2.2,6.74,100.0
0.74,2.2,6.74,100.0
0.75,2.2,6.74,100.0
0.75,2.2,6.74,100.0
0.75,2.2,6.74,100.0
0.75,2.2,6.74,100.0
0.76,2.2,6.83,100.0
0.76,2.2,6.83,100.0
0.76,2.2,6.83,100.0
0.77,2.2,6.83,100.0
0.77,2.2,6.83,100.0
0.77,2.2,6.83,100.0
0.77,2.2,6.83,100.0
0.78,2.2,6.93,100.0
0.78,2.2,6.93,100.0
0.78,2.2,6.93,100.0
0.78,2.2,6.93,100.0
0.79,2.2,6.93,100.0
0.79,2.2,6.93,100.0
0.79,2.2,6.93,100.0
0.79,2.2,6.93,100.0
0.80,2.2,7.02,100.0
0.80,2.2,7.02,100.0
0.80,2.2,7.02,100.0
0.80,2.2,7.02,100.0
0.81,2.2,7.02,100.0
0.81,2.2,7.02,100.0
0.81,2.2,7.02,100.0
0.81,2.2,7.02,100.0
0.81,2.2,7.02,100.0
0.82,2.2,7.11,100.0
0.82,2.2,7.11,100.0
0.82,2.2,7.11,100.0
0.82,2.2,7.11,100.0
0.83,2.2,7.11,100.0
0.83,2.2,7.11,100.0
0.83,2.2,7.11,100.0
0.83,2.2,7.11,100.0
0.84,2.2,7.19,100.0
0.84,2.2,7.19,100.0
0.84,2.2,7.19,100.0
0.84,2.2,7.19,100.0
0.84,2.2,7.19,100.0
0.85,2.2,7.19,100.0
0.85,2.2,7.19,100.0
0.85,2.2,7.19,100.0
0.85,2.2,7.19,100.0
0.86,2.2,7.28,100.0
0.86,2.2,7.28,100.0
0.86,2.2,7.28,100.0
0.87,2.2,7.28,100.0
0.87,2.2,7.28,100.0
0.87,2.2,7.28,100.0
0.87,2.2,7.28,100.0
0.88,2.2,7.36,100.0
0.88,2.2,7.36,100.0
0.88,2.2,7.36,100.0
0.88,2.2,7.36,100.0
0.89,2.2,7.36,100.0
0.89,2.2,7.36,100.0
0.89,2.2,7.36,100.0
0.89,2.2,7.36,100.0
0.90,2.2,7.44,100.0
0.90,2.2,7.44,100.0
0.90,2.2,7.44,100.0
0.91,2.2,7.44,100.0
0.91,2.2,7.44,100.0
0.91,2.2,7.44,100.0
0.91,2.2,7.44,100.0
0.92,2.2,7.51,100.0
0.92,2.2,7.51,100.0
0.92,2.2,7.51,100.0
0.92,2.2,7.51,100.0
0.93,2.2,7.51,100.0
0.93,2.2,7.51,100.0
0.93,2.2,7.51,100.0
0.94,2.2,7.59,100.0
0.94,2.2,7.59,100.0
0.94,2.2,7.59,100.0
0.95,2.2,7.59,100.0
0.95,2.2,7.59,100.0
0.95,2.2,7.59,100.0
0.95,2.2,7.59,100.0
0.96,2.2,7.44,100.0
0.96,2.2,7.44,100.0
0.96,2.2,7.44,100.0
0.96,2.2,7.44,100.0
0.97,2.2,7.44,100.0
0.97,2.2,7.44,100.0
0.97,2.2,7.44,100.0
0.97,2.2,7.44,100.0
0.98,2.2,7.31,100.0
0.98,2.2,7.31,100.0
0.98,2.2,7.31,100.0
0.98,2.2,7.31,100.0
0.99,2.2,7.31,100.0
0.99,2.2,7.31,100.0
0.99,2.2,7.31,100.0
0.99,2.2,7.31,100.0
0.99,2.2,7.31,100.0
1.00,2.2,7.19,100.0
1.00,2.2,7.19,100.0
1.00,2.2,7.19,100.0
1.00,2.2,7.19,100.0
1.01,2.2,7.19,100.0
1.01,2.2,7.19,100.0
1.01,2.2,7.19,100.0
1.01,2.2,7.19,100.0
1.02,2.2,7.08,100.0
1.02,2.2,7.08,100.0
1.02,2.2,7.08,100.0
1.02,2.2,7.08,100.0
1.03,2.2,7.08,100.0
1.03,2.2,7.08,100.0
1.03,2.2,7.08,100.0
1.03,2.2,7.08,100.0
1.04,2.2,6.98,100.0
1.04,2.2,6.98,100.0
1.04,2.2,6.98,100.0
1.04,2.2,6.98,100.0
1.05,2.2,6.98,100.0
1.05,2.2,6.98,100.0
1.05,2.2,6.98,100.0
1.05,2.2,6.98,100.0
1.06,2.2,6.89,100.0
1.06,2.2,6.89,100.0
1.06,2.2,6.89,100.0
1.06,2.2,6.89,100.0
1.07,2.2,6.89,100.0
1.07,2.2,6.89,100.0
1.07,2.2,6.89,100.0
1.07,2.2,6.89,100.0
1.08,2.2,6.81,100.0
1.08,2.2,6.81,100.0
1.08,2.2,6.81,100.0
1.08,2.2,6.81,100.0
1.09,2.2,6.81,100.0
1.09,2.2,6.81,100.0
1.09,2.2,6.81,100.0
1.09,2.2,6.81,100.0
1.10,2.2,6.73,100.0
1.10,2.2,6.73,100.0
1.10,2.2,6.73,100.0
1.10,2.2,6.73,100.0
1.11,2.2,6.73,100.0
1.11,2.2,6.73,100.0
1.11,2.2,6.73,100.0
1.11,2.2,6.73,100.0
1.12,2.2,6.67,100.0
1.12,2.2,6.67,100.0
1.12,2.2,6.67,100.0
1.12,2.2,6.67,100.0
1.13,2.2,6.67,100.0
1.13,2.2,6.67,100.0
1.13,2.2,6.67,100.0
1.13,2.2,6.67,100.0
1.14,2.2,6.61,100.0
1.14,2.2,6.61,100.0
1.14,2.2,6.61,100.0
1.14,2.2,6.61,100.0
1.15,2.2,6.61,100.0
1.15,2.2,6.61,100.0
1.15,2.2,6.61,100.0
1.15,2.2,6.61,100.0
1.16,2.2,6.56,100.0
1.16,2.2,6.56,100.0
1.16,2.2,6.56,100.0
1.16,2.2,6.56,100.0
1.17,2.2,6.56,100.0
1.17,2.2,6.56,100.0
1.17,2.2,6.56,100.0
1.17,2.2,6.56,100.0
1.18,2.2,6.51,100.0
1.18,2.2,6.51,100.0
1.18,2.2,6.51,100.0
1.18,2.2,6.51,100.0
1.19,2.2,6.51,100.0
1.19,2.2,6.51,100.0
1.19,2.2,6.51,100.0
1.19,2.2,6.51,100.0
1.20,2.2,6.47,100.0
1.20,2.2,6.47,100.0
1.20,2.2,6.47,100.0
1.21,2.2,6.47,100.0
1.21,2.2,6.47,100.0
1.21,2.2,6.47,100.0
1.21,2.2,6.47,100.0
1.22,2.2,6.44,100.0
1.22,2.2,6.44,100.0
1.22,2.2,6.44,100.0
1.22,2.2,6.44,100.0
1.23,2.2,6.44,100.0
1.23,2.2,6.44,100.0
1.23,2.2,6.44,100.0
1.23,2.2,6.44,100.0
1.24,2.2,6.41,100.0
1.24,2.2,6.41,100.0
1.24,2.2,6.41,100.0
1.24,2.2,6.41,100.0
1.25,2.2,6.41,100.0
1.25,2.2,6.41,100.0
1.25,2.2,6.41,100.0
1.26,2.2,6.38,100.0
1.26,2.2,6.38,100.0
1.26,2.2,6.38,100.0
1.26,2.2,6.38,100.0
1.27,2.2,6.38,100.0
1.27,2.2,6.38,100.0
1.27,2.2,6.38,100.0
1.27,2.2,6.38,100.0
1.28,2.2,6.36,100.0
1.28,2.2,6.36,100.0
1.28,2.2,6.36,100.0
1.28,2.2,6.36,100.0
1.29,2.2,6.36,100.0
1.29,2.2,6.36,100.0
1.29,2.2,6.36,100.0
1.30,2.2,6.34,100.0
1.30,2.2,6.34,100.0
1.30,2.2,6.34,100.0
1.30,2.2,6.34,100.0
1.31,2.2,6.34,100.0
1.31,2.2,6.34,100.0
1.31,2.2,6.34,100.0
1.31,2.2,6.34,100.0
1.32,2.2,5.85,99.0
1.32,2.2,5.85,99.0
1.32,2.2,5.85,99.0
1.33,2.2,5.85,99.0
1.33,2.2,5.85,99.0
1.33,2.2,5.85,99.0
1.34,2.2,5.38,99.0
1.34,2.2,5.38,99.0
1.34,2.2,5.38,99.0
1.34,2.2,5.38,99.0
1.35,2.2,5.38,99.0
1.35,2.2,5.38,99.0
1.35,2.2,5.38,99.0
1.35,2.2,5.38,99.0
1.36,2.2,4.94,99.0
1.36,2.2,4.94,99.0
1.36,2.2,4.94,99.0
1.37,2.2,4.94,99.0
1.37,2.2,4.94,99.0
1.37,2.2,4.94,99.0
1.37,2.2,4.94,99.0
1.37,2.2,4.94,99.0
1.38,2.2,4.52,99.0
1.38,2.2,4.52,99.0
1.38,2.2,4.52,99.0
1.38,2.2,4.52,99.0
1.39,2.2,4.52,99.0
1.39,2.2,4.52,99.0
1.39,2.2,4.52,99.0
1.39,2.2,4.52,99.0
1.39,2.2,4.12,99.0
1.40,2.2,4.12,99.0
1.40,2.2,4.12,99.0
1.40,2.2,4.12,99.0
1.41,2.2,4.12,99.0
1.41,2.2,4.12,99.0
1.41,2.2,4.12,99.0
1.42,2.2,3.74,99.0
1.42,2.2,3.74,99.0
1.42,2.2,3.74,99.0
1.43,2.2,3.74,99.0
1.43,2.2,3.74,99.0
1.43,2.2,3.74,99.0
1.43,2.2,3.74,99.0
1.44,2.2,3.38,99.0
1.44,2.2,3.38,99.0
1.44,2.2,3.38,99.0
1.44,2.2,3.38,99.0
1.45,2.2,3.38,99.0
1.45,2.2,3.38,99.0
1.45,2.2,3.38,99.0
1.45,2.2,3.38,99.0
1.46,2.2,3.05,99.0
1.46,2.2,3.05,99.0
1.46,2.2,3.05,99.0
1.46,2.2,3.05,99.0
1.47,2.2,3.05,99.0
1.47,2.2,3.05,99.0
1.47,2.2,3.05,99.0
1.48,2.2,2.74,99.0
1.48,2.2,2.74,99.0
1.48,2.2,2.74,99.0
1.48,2.2,2.74,99.0
1.49,2.2,2.74,99.0
1.49,2.2,2.74,99.0
1.49,2.2,2.74,99.0
1.49,2.2,2.74,99.0
1.50,2.2,2.46,99.0
1.50,2.2,2.46,99.0
1.50,2.2,2.46,99.0
1.51,2.2,2.46,99.0
1.51,2.2,2.46,99.0
1.51,2.2,2.46,99.0
1.51,2.2,2.21,99.0
1.52,2.2,2.21,99.0
1.52,2.2,2.21,99.0
1.52,2.2,2.21,99.0
1.53,2.2,2.21,99.0
1.53,2.2,2.21,99.0
1.53,2.2,2.21,99.0
1.53,2.2,2.21,99.0
1.54,2.2,2.00,99.0
1.54,2.2,2.00,99.0
1.54,2.2,2.00,99.0
1.55,2.2,2.00,99.0
1.55,2.2,2.00,99.0
1.55,2.2,2.00,99.0
1.55,2.2,2.00,99.0
1.56,2.2,1.82,99.0
1.56,2.2,1.82,99.0
1.56,2.2,1.82,99.0
1.56,2.2,1.82,99.0
1.57,2.2,1.82,99.0
1.57,2.2,1.82,99.0
1.57,2.2,1.82,99.0
1.57,2.2,1.82,99.0
1.58,2.2,1.69,99.0
1.58,2.2,1.69,99.0
1.58,2.2,1.69,99.0
1.58,2.2,1.69,99.0
1.59,2.2,1.69,99.0
1.59,2.2,1.69,99.0
1.59,2.2,1.69,99.0
1.60,2.2,1.61,99.0
1.60,2.2,1.61,99.0
1.60,2.2,1.61,99.0
1.60,2.2,1.61,99.0
1.61,2.2,1.61,99.0
1.61,2.2,1.61,99.0
1.61,2.2,1.61,99.0
1.61,2.2,1.61,99.0
1.62,2.2,1.57,99.0
1.62,2.2,1.57,99.0
1.62,2.2,1.57,99.0
1.62,2.2,1.57,99.0
1.63,2.2,1.57,99.0
1.63,2.2,1.57,99.0
1.63,2.2,1.57,99.0
1.63,2.2,1.57,99.0
1.64,2.2,1.34,99.0
1.64,2.2,1.34,99.0
1.64,2.2,1.34,99.0
1.64,2.2,1.34,99.0
1.65,2.2,1.34,99.0
1.65,2.2,1.34,99.0
1.65,2.2,1.34,99.0
1.65,2.2,1.34,99.0
1.65,2.2,1.34,99.0
1.66,2.2,1.21,99.0
1.66,2.2,1.21,99.0
1.66,2.2,1.21,99.0
1.66,2.2,1.21,99.0
1.67,2.2,1.21,99.0
1.67,2.2,1.21,99.0
1.67,2.2,1.21,99.0
1.67,2.2,1.21,99.0
1.68,2.2,1.20,99.0
1.68,2.2,1.20,99.0
1.68,2.2,1.20,99.0
1.68,2.2,1.20,99.0
1.69,2.2,1.20,99.0
1.69,2.2,1.20,99.0
1.69,2.2,1.20,99.0
1.69,2.2,1.20,99.0
1.70,2.2,1.31,99.0
1.70,2.2,1.31,99.0
1.70,2.2,1.31,99.0
1.70,2.2,1.31,99.0
1.71,2.2,1.31,99.0
1.71,2.2,1.31,99.0
1.71,2.2,1.31,99.0
1.71,2.2,1.31,99.0
1.71,2.2,1.31,99.0
1.72,2.2,1.49,99.0
1.72,2.2,1.49,99.0
1.72,2.2,1.49,99.0
1.73,2.2,1.49,99.0
1.73,2.2,1.49,99.0
1.73,2.2,1.49,99.0
1.73,2.2,1.49,99.0
1.74,2.2,1.72,99.0
1.74,2.2,1.72,99.0
1.74,2.2,1.72,99.0
1.74,2.2,1.72,99.0
1.75,2.2,1.72,99.0
1.75,2.2,1.72,99.0
1.75,2.2,1.72,99.0
1.75,2.2,1.72,99.0
1.76,2.2,1.97,99.0
1.76,2.2,1.97,99.0
1.76,2.2,1.97,99.0
1.76,2.2,1.97,99.0
1.77,2.2,1.97,99.0
1.77,2.2,1.97,99.0
1.77,2.2,1.97,99.0
1.77,2.2,1.97,99.0
1.78,2.2,2.23,99.0
1.78,2.2,2.23,99.0
1.78,2.2,2.23,99.0
1.78,2.2,2.23,99.0
1.79,2.2,2.23,99.0
1.79,2.2,2.23,99.0
1.79,2.2,2.23,99.0
1.79,2.2,2.23,99.0
1.80,2.2,2.49,99.0
1.80,2.2,2.49,99.0
1.80,2.2,2.49,99.0
1.80,2.2,2.49,99.0
1.81,2.2,2.49,99.0
1.81,2.2,2.49,99.0
1.81,2.2,2.49,99.0
1.81,2.2,2.49,99.0
1.82,2.2,2.74,99.0
1.82,2.2,2.74,99.0
1.82,2.2,2.74,99.0
1.82,2.2,2.74,99.0
1.83,2.2,2.74,99.0
1.83,2.2,2.74,99.0
1.83,2.2,2.74,99.0
1.83,2.2,2.74,99.0
1.84,2.2,3.00,99.0
1.84,2.2,3.00,99.0
1.84,2.2,3.00,99.0
1.85,2.2,3.00,99.0
1.85,2.2,3.00,99.0
1.85,2.2,3.00,99.0
1.85,2.2,3.00,99.0
1.86,2.2,3.24,99.0
